,q nm,all,1-1,2-2
377,943.75,73.61932,78.52727,0.0
378,946.25,95.19939,104.14975,351.50543
379,948.75,87.41429,77.70159,0.0
380,951.25,115.93987,90.17545,115.93987
381,953.75,93.70857,102.518776,0.0
382,956.25,93.218895,114.730934,0.0
383,958.75,85.600075,63.407463,228.26688
384,961.25,99.347984,75.693695,454.1622
385,963.75,105.89226,100.40154,0.0
386,966.25,56.184284,49.94158,112.36857
387,968.75,132.74998,111.78945,111.78947
388,971.25,111.214935,135.92935,0.0
389,973.75,89.89862,98.350624,110.644455
390,976.25,96.31871,97.84757,220.15706
391,978.75,143.74062,97.34814,547.5833
392,981.25,129.38919,108.959305,217.91862
393,983.75,88.07987,84.31577,0.0
394,986.25,155.04472,167.77785,215.71439
395,988.75,67.07025,83.4652,0.0
396,991.25,106.7721,130.49922,0.0
397,993.75,132.79472,165.25566,212.47156
398,996.25,92.49013,82.21344,0.0
399,998.75,177.48148,186.97636,0.0
