,q nm,all,1-1,2-2
245,613.75,79.839195,73.35227,173.87202
246,616.25,95.03114,121.263725,86.231964
247,618.75,109.975784,96.22882,171.07344
248,621.25,124.677155,167.04791,127.27459
249,623.75,54.109875,0.0,126.25636
250,626.25,138.03098,93.93776,83.50022
251,628.75,106.50546,116.49037,82.837585
252,631.25,120.7586,92.45582,123.2744
253,633.75,127.29564,91.72775,122.30365
254,636.25,148.58455,159.26408,80.896034
255,638.75,110.56792,112.87143,160.52823
256,641.25,95.07982,89.59445,39.81975
257,643.75,137.88559,177.79987,158.0443
258,646.25,108.01654,88.21352,156.824
259,648.75,114.33104,153.18575,77.808624
260,651.25,141.81859,282.30768,38.60617
261,653.75,154.80995,107.75126,76.6231
262,656.25,111.732376,106.9314,114.06013
263,658.75,173.25923,42.44852,188.66008
264,661.25,123.80578,168.51344,187.23714
265,663.75,68.26386,104.52906,74.331764
266,666.25,121.95416,145.24403,73.77474
267,668.75,94.14573,123.566284,109.83668
268,671.25,133.49414,122.64776,290.72058
269,673.75,79.50317,81.1595,36.070885
270,676.25,78.91637,60.42035,107.41394
271,678.75,163.20004,99.96005,284.33078
272,681.25,110.16298,99.2277,105.84286
273,683.75,141.52335,98.50348,140.09381
274,686.25,95.79166,97.78733,139.07529
275,688.75,107.776726,232.98796,69.03346
276,691.25,151.05663,115.65275,102.80242
277,693.75,131.22397,114.82099,238.14722
278,696.25,111.67116,37.999218,236.43954
279,698.75,135.51244,132.04764,67.07181
280,701.25,165.1269,112.378044,66.59439
281,703.75,115.3759,130.17743,66.121864
282,706.25,78.383766,129.25786,98.48216
283,708.75,131.71552,165.01862,97.78879
284,711.25,142.68141,145.65396,129.47017
285,713.75,100.35929,126.55604,224.98848
286,716.25,93.79765,107.72076,63.834515
287,718.75,186.29135,160.45801,190.17242
288,721.25,86.72004,88.52672,94.42848
289,723.75,114.82895,17.583185,125.035965
290,726.25,96.93375,122.23632,0.0
291,728.75,124.58484,86.71389,92.4948
292,731.25,140.60709,120.570595,153.10551
293,733.75,139.65096,153.96521,91.238625
